CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_HIBERNATION,PROJECT,Calvin.Hung,,y,y,y,y,,X,X,X,X,X,
CONFIG_HID_A4TECH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_APPLE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_BELKIN,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CHERRY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CHICONY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_CYPRESS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_DRAGONRISE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_EZKEY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_GREENASIA,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_GYRATION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_KENSINGTON,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_KYE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_LOGITECH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MAGICMOUSE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MICROSOFT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_MONTEREY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_NTRIG,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_HID_PANTHERLORD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_PETALYNX,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SAMSUNG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SMARTJOYPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_HID_SONY,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_HID_SUNPLUS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
